source_type,identifier,link,paper_relevance,platform,github_stars,readme_present,docs_folder,wiki_present,external_docs_link,primary_doc_location,doc_level,docs_url,tool_notes,domain,domain_justification,interaction_level,interaction_justification,threat_model,threat_model_justification,irb_mentioned,irb_justification,consent_model,consent_justification,data_types_collected,data_types_justification,protocols_ports,protocols_justification,data_sensitivity,data_sensitivity_justification,data_minimization,data_minimization_justification,data_retention_policy,data_retention_justification,data_sharing,data_sharing_justification,jurisdiction_legal,jurisdiction_justification,containment_measures,containment_justification,deception_framing,deception_justification,researcher_responsibility,researcher_responsibility_justification,ethical_gaps,ethical_gaps_justification,relevance_to_project,relevance_justification,deployment,deployment_justification,no_external_deployment
Non-Scientific,WebTrap,https://github.com/IllusiveNetworks-Labs/WebTrap,,GitHub,69,Yes,No,No,No,README,Minimal,N/A,README with brief setup; deceptive webpage honeypot.,IT,Illusive Networks deceptive web page honeypot creating convincing fake pages.,Low,Creates deceptive web pages mimicking real applications to detect attacker access.,Targeted attackers and automated scanners probing web surfaces.,README describes deceptive web page generation.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests, browsing behavior",Not documented.,"HTTP/HTTPS (80, 443)",Standard web ports.,Low,Web browsing behavior metadata; no real user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; commercial-origin tool with no public ethics governance.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,basic-auth-pot (bap),https://github.com/bjeborn/basic-auth-pot,,GitHub,54,Yes,No,No,No,README,Minimal,N/A,Short README; HTTP Basic Authentication honeypot.,IT,Simple HTTP Basic Authentication honeypot logging credential brute-force.,Low,Presents HTTP Basic Auth challenge and logs all credential attempts.,Automated scanners brute-forcing HTTP Basic Authentication.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords",Not documented.,HTTP (80 or configured),Standard web port.,Low,Credential attempt logs only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal credential logging honeypot.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,bwpot,https://github.com/graneed/bwpot,,GitHub,28,Yes,No,No,No,README,Minimal,N/A,Short README; web honeypot.,IT,Simple web honeypot for logging web attack traffic.,Low,Logs incoming HTTP requests; minimal emulation.,Automated web scanners.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests",Not documented.,HTTP (configured),Not documented.,Low,Request metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,django-admin-honeypot,https://github.com/dmpayton/django-admin-honeypot,,GitHub,1.1k,Yes,No,No,Yes,External,Moderate,https://django-admin-honeypot.readthedocs.io/en/latest/,README + links to PyPI docs; Django admin login honeypot.,IT,Django package creating a fake admin login page to log unauthorized access attempts.,Low,Presents fake Django admin login; logs credential attempts with optional email alerts.,Attackers and automated scanners brute-forcing Django admin interfaces.,README and external readthedocs documentation.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords, timestamps",README describes logging; alert emails may contain attacker IPs.,"HTTP/HTTPS (80, 443)",Standard web ports.,Low,Credential attempt metadata; no real admin access granted.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; alert emails containing attacker IPs not discussed from privacy perspective.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,drupo,https://github.com/d1str0/drupot,,GitHub,58,Yes,No,No,No,README,Minimal,N/A,Short README; Drupal honeypot.,IT,Drupal CMS honeypot emulating vulnerable Drupal installation.,Low,Emulates Drupal web application; logs exploitation attempts.,Automated scanners targeting Drupal CMS vulnerabilities.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests, exploit payloads",Not documented.,HTTP (80),Standard web port.,Low,Attack payloads only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,galah,https://github.com/0x4D31/galah,,GitHub,644,Yes,No,No,No,README,Moderate,N/A,"README with architecture, setup, and example configs; LLM-based HTTP honeypot.",IT,LLM-powered web honeypot using GPT-4 to generate dynamic realistic HTTP responses.,Medium,Uses LLM to generate contextually appropriate responses to any HTTP request; more sophisticated than static emulation.,Advanced attackers capable of fingerprinting static honeypots; fingerprinting-aware adversaries.,README describes LLM integration and dynamic response generation.,No,Not available,None,Not documented,"Attacker IP addresses, full HTTP request contents, User-Agent strings, request bodies",README describes logging all requests for LLM response generation.,"HTTP/HTTPS (80, 443)",Standard web ports.,Medium,Full HTTP request contents sent to OpenAI API; potential data governance concern.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; all attacker requests forwarded to OpenAI API — third-party processing not addressed.,README describes OpenAI API integration with no privacy discussion.,Purely technical,Not documented,Not documented,Not documented,HIGH: Uses OpenAI API — all attacker interaction data sent to third-party cloud; no data governance; no IRB; no privacy policy.,README describes GPT-4 integration with no discussion of data sent to OpenAI or GDPR implications.,HIGH relevance to HoneySat ethics: LLM-based honeypot with third-party API dependency directly applicable to AI-powered space honeypot governance.,Third-party LLM API dependency and absence of data governance are a key case study for our framework.,Not documented,Not documented,Not documented
Non-Scientific,honeyhttpd,https://github.com/bocajspear1/honeyhttpd,,GitHub,54,Yes,No,No,No,README,Minimal,N/A,README with usage instructions; simple HTTP honeypot.,IT,Simple HTTP server honeypot logging all incoming web requests.,Low,Logs all HTTP requests; minimal emulation.,Automated web scanners.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests",Not documented.,HTTP (configured),Not documented.,Low,Request metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeyup,https://github.com/mrcbax/honeyup,,GitHub,29,Yes,No,No,No,README,Minimal,N/A,Short README; uploader honeypot.,IT,Upload endpoint honeypot logging malware and file upload attempts.,Low,Accepts file uploads from attackers; logs and stores submitted files.,Attackers testing for arbitrary file upload vulnerabilities.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, uploaded file content (potentially malware)",Not documented; uploaded files may include live malware.,HTTP (configured),Not documented.,Medium,Uploaded files may contain live malware — containment concern.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; no malware handling guidance.,README does not address safe handling of malware uploaded to honeypot.,Purely technical,Not documented,Not documented,Not documented,Receives live malware uploads with no documented safe handling procedure; no IRB.,Malware containment gap not addressed.,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,modpot,https://github.com/referefref/modpot,,GitHub,63,Yes,No,No,No,README,Moderate,N/A,README with setup and usage; modular web honeypot in Golang.,IT,Modular web honeypot supporting multiple vulnerability plugins.,Low,Modular architecture emulating various web vulnerabilities via plugins.,Automated web scanners targeting a range of web vulnerabilities.,README describes modular plugin architecture.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests, exploit payloads per module",Not documented.,HTTP (configured),Not documented.,Low,Attack payloads per vulnerability module.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; modular architecture with no governance per module.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,owa-honeypot,https://github.com/joda32/owa-honeypot,,GitHub,70,Yes,No,No,No,README,Minimal,N/A,Short README; Flask-based Outlook Web honeypot.,IT,Flask-based Outlook Web Access honeypot logging credential brute-force against fake OWA pages.,Low,Emulates OWA login page; logs credential attempts.,Attackers brute-forcing Office 365 / Outlook Web Access credentials.,README describes OWA emulation.,No,Not available,None,Not documented,"Attacker IP addresses, email addresses, passwords attempted",Email addresses as usernames may constitute personal data.,"HTTP/HTTPS (80, 443)",Standard web ports.,Medium,Email addresses (usernames) logged alongside passwords; email addresses are personal data under GDPR.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; email address logging not discussed from privacy perspective.,Email addresses are personal identifiers requiring data protection consideration.,Purely technical,Not documented,Not documented,Not documented,Logs email addresses as usernames — personal data under GDPR; no data governance; no IRB.,Email addresses as personal identifiers requiring data protection.,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,phpmyadmin_honeypot,https://github.com/gfoss/phpmyadmin_honeypot,,GitHub,68,Yes,No,No,No,README,Minimal,N/A,Short README; simple phpMyAdmin honeypot.,IT,Simple phpMyAdmin login honeypot logging unauthorized access attempts.,Low,Emulates phpMyAdmin login; logs credential attempts.,Automated scanners brute-forcing phpMyAdmin instances.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords",Not documented.,HTTP (80),Standard web port.,Low,Credential attempt metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,shockpot,https://github.com/pwnlandia/shockpot,,GitHub,55,Yes,No,No,No,README,Minimal,N/A,README with setup; Shellshock exploit detection honeypot.,IT,Honeypot for detecting Shellshock (CVE-2014-6271) exploitation via HTTP.,Low,Emulates vulnerable bash CGI endpoint; logs Shellshock payloads.,Attackers exploiting Shellshock vulnerability in CGI-enabled web servers.,README describes Shellshock emulation.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP headers with Shellshock payloads, command injection strings",Not documented.,HTTP (80),Standard web port.,Low,Exploit payloads only; no real system access.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; CVE-specific honeypot.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,smart-honeypot,https://github.com/freak3dot/smart-honeypot,,GitHub,18,Yes,No,No,No,README,Minimal,N/A,Short README; PHP smart honeypot script.,IT,PHP-based smart honeypot detecting spam bots in web forms.,Low,Injects honeypot fields into forms; logs bot interactions.,Automated spam bots submitting web forms.,Not documented.,No,Not available,None,Not documented,"Bot IP addresses, form submissions",Not documented.,"HTTP/HTTPS (80, 443)",Standard web ports.,Low,Spam form content only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal spam trap.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Snare,https://github.com/mushorg/snare,,GitHub,479,Yes,Yes,No,Yes,External,Extensive,https://snare.readthedocs.io/en/latest/,README + /docs folder; links to readthedocs external docs. Successor to Glastopf.,IT,Web application honeypot cloning real websites as deceptive honeypots; Honeynet Project.,Medium,Clones real web applications for realistic honeypots; interactions processed by Tanner backend.,"Advanced web attackers probing for SQL injection, XSS, LFI/RFI in real-looking applications.",Extensive README and readthedocs describe attack classification and Tanner integration.,No,Not available,None,Not documented,"Attacker IP addresses, full HTTP interaction logs, attack payloads, SQL injection and file access attempts",README and docs describe capturing full attacker interaction for Tanner analysis.,"HTTP (80, 8080)",Documented in README.,Low,Full attack interaction logs; no real web application data exposed.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; website cloning raises copyright and terms-of-service questions not addressed.,Cloning real websites as honeypots without owner consent is a legal concern not discussed.,Moderate relevance; Snare/Tanner web deception architecture; website cloning ethics applicable to HoneySat.,Website cloning parallels satellite system emulation for honeypot purposes.,Not documented,Not documented,Not documented
Non-Scientific,Tanner,https://github.com/mushorg/tanner,,GitHub,231,Yes,Yes,No,Yes,External,Extensive,https://tanner.readthedocs.io/en/latest/,README + /docs folder + external readthedocs link. Evaluates SNARE events.,IT,Backend evaluation engine for SNARE web honeypot; Honeynet Project.,Medium,Processes SNARE captured requests to generate realistic attack responses.,Same as SNARE: web attackers probing cloned web applications.,Extensive README and readthedocs document Tanner evaluation logic.,No,Not available,None,Not documented,"Full attacker session data from SNARE: IP addresses, payloads, session classifications",Docs describe storing all attack session data.,HTTP (internal API),Tanner operates as internal API receiving data from SNARE.,Low,Processed attack session data; no real user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; Honeynet Project tool with no governance documentation.,Not documented,Moderate relevance; Tanner evaluation architecture demonstrates automated attack classification for HoneySat response systems.,Automated attacker evaluation pipeline relevant to HoneySat intelligence processing.,Not documented,Not documented,Not documented
Non-Scientific,stack-honeypot,https://github.com/CHH/stack-honeypot,,GitHub,24,Yes,No,No,No,README,Minimal,N/A,Short README; inserts trap for spam bots into responses.,IT,PHP middleware honeypot inserting traps for spam harvesters into HTTP responses.,Low,Inserts hidden HTML content to trap email harvesting bots.,Email harvesting bots and spam crawlers targeting web pages.,Not documented.,No,Not available,None,Not documented,"Bot IP addresses, request metadata",Not documented.,HTTP (80),Standard web port.,Low,Bot metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal spam trap.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,tomcat-manager-honeypot,https://github.com/helospark/tomcat-manager-honeypot,,GitHub,12,Yes,No,No,No,README,Minimal,N/A,Short README; mimics Tomcat manager endpoint.,IT,Honeypot mimicking Apache Tomcat manager interface to log brute-force and exploitation.,Low,Emulates Tomcat manager login; logs credential and deployment attempts.,Attackers targeting Tomcat manager for credential brute-force or WAR file deployment.,README describes Tomcat emulation.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords, WAR file upload attempts",Not documented.,HTTP (8080),Standard Tomcat port.,Low,Credential and upload metadata; no real Tomcat access.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,HonnyPotter,https://github.com/MartinIngesen/HonnyPotter,,GitHub,35,Yes,No,No,No,README,Minimal,N/A,Short README; WordPress login honeypot.,IT,WordPress login honeypot logging brute-force credential attempts.,Low,Emulates WordPress login page; logs credential attempts.,Automated bots brute-forcing WordPress admin credentials.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords",Not documented.,HTTP (80),Standard web port.,Low,Credential attempt logs only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal WordPress credential honeypot.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,HoneyPress,https://github.com/kungfuguapo/HoneyPress,,GitHub,8,Yes,No,No,No,README,Minimal,N/A,Short README; Python-based WordPress honeypot in Docker.,IT,Python-based WordPress login honeypot logging brute-force attempts.,Low,Emulates WordPress login; logs credential attempts.,Automated WordPress credential brute-forcers.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords",Not documented.,HTTP (80),Standard web port.,Low,Credential attempt metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,wp-smart-honeypot,https://github.com/freak3dot/wp-smart-honeypot,,GitHub,29,Yes,No,No,No,README,Minimal,N/A,Short README; WordPress plugin honeypot.,IT,WordPress plugin implementing honeypot fields for comment and registration spam prevention.,Low,Injects hidden form fields into WordPress forms to trap spam bots.,Automated spam bots submitting WordPress forms.,README describes plugin architecture.,No,Not available,None,Not documented,"Bot IP addresses, spam form submissions",Not documented.,"HTTP/HTTPS (80, 443)",Standard web ports.,Low,Spam content from bots only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal spam protection tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,wordpot,https://github.com/gbrindisi/wordpot,,GitHub,184,Yes,No,No,No,README,Minimal,N/A,README with usage; WordPress honeypot.,IT,"WordPress honeypot detecting scans, plugin/theme enumeration, and login brute-forcing.",Low,"Emulates WordPress detecting plugin, theme, and login scan patterns.",Automated scanners performing WordPress enumeration and credential brute-force.,README describes detection scope.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests, scan patterns, credential attempts",Not documented.,HTTP (80),Standard web port.,Low,Scan patterns and credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Python-Honeypot,https://github.com/OWASP/Python-Honeypot,,GitHub,478,Yes,No,Yes,Yes,Wiki,Extensive,https://github.com/OWASP/Python-Honeypot/wiki,README + /docs folder + external OWASP wiki links. Well-documented OWASP project.,IT,OWASP Python-based multi-service honeypot with extensive documentation and active community.,Medium,"Supports multiple protocol emulations (SSH, FTP, HTTP, SMTP, etc.); OWASP project.",Broad range of automated and human attackers targeting multiple protocols simultaneously.,"README, GitHub Wiki, and OWASP documentation describe multi-protocol architecture.",No,Not available,None,Not documented,"Attacker IP addresses, protocol interaction logs across all services, credentials, commands",Not documented; multi-protocol logging implies broad data collection.,"SSH (22), FTP (21), HTTP (80), SMTP (25) and others configurable",README and Wiki describe multi-protocol configuration.,Low,Multi-protocol interaction logs; no real user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; broad multi-service collection without governance; OWASP community use at scale.,OWASP deployment at scale without governance documentation.,Moderate relevance; multi-protocol honeypot architecture applicable to HoneySat multi-signal emulation.,Multi-protocol approach applicable to satellite ground station honeypot.,Not documented,Not documented,Not documented
Non-Scientific,ADBHoney,https://github.com/huuck/ADBHoney,,GitHub,178,Yes,No,No,No,README,Minimal,N/A,Short README; simulates Android ADB server.,IT,Low-interaction Android Debug Bridge honeypot capturing IoT botnet attacks targeting ADB.,Low,Emulates ADB server protocol; logs connection and command attempts.,Mirai-variant IoT botnets and scanners targeting exposed Android ADB ports.,README describes ADB protocol emulation and Mirai botnet targeting.,No,Not available,None,Not documented,"Attacker IP addresses, ADB commands, malware download payloads",README describes capturing malware samples sent via ADB.,ADB (5555),Standard Android ADB port.,Medium,Malware download payloads captured; medium sensitivity due to live malware.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; no malware handling guidance.,Live malware capture without safe handling documentation.,Purely technical,Not documented,Not documented,Not documented,Captures live malware with no documented containment or safe handling; no IRB.,Not documented,Moderate relevance; IoT botnet malware capture applicable to space/ground security research.,IoT botnet targeting methodology relevant to HoneySat threat model.,Not documented,Not documented,Not documented
Non-Scientific,AMTHoneypot,https://github.com/packetflare/amthoneypot,,Not Found,N/A,No,No,No,No,None,None,N/A,N/A,Other,Repository/link not found; documentation not available.,Not available,Not documented,Not available,Not documented,No,Not available,None,Not documented,Not available,Not documented,Not available,Not documented,Not available,Not documented,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Not available,Not documented,Not documented,Not documented,Repository not found; no ethics analysis possible.,Not documented,Not assessable; repository unavailable.,Not assessable.,Not documented,Not documented,Not documented
Non-Scientific,ddospot,https://github.com/aelth/ddospot,,GitHub,64,Yes,No,No,No,README,Moderate,N/A,README with usage; NTP/DNS/SSDP/Chargen UDP amplification DDoS honeypot.,IT,"Multi-protocol honeypot detecting DDoS amplification attacks using NTP, DNS, SSDP, CharGEN.",Low,Emulates amplification-vulnerable services; logs attack sources and request patterns.,"DDoS amplification operators probing for open NTP, DNS, SSDP reflectors.",README describes multi-protocol DDoS amplification detection.,No,Not available,None,Not documented,"Attacker IP addresses, amplification request payloads, protocol queries",Not documented.,"NTP (123), DNS (53), SSDP (1900), CharGEN (19)",README lists supported DDoS amplification protocols.,Low,Amplification request metadata; no personal user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; DDoS honeypot could be misused as actual amplification reflector if misconfigured.,Risk of misconfiguration as real amplifier not addressed.,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,dionaea,https://github.com/DinoTools/dionaea,,GitHub,801,Yes,Yes,No,Yes,External,Extensive,https://dionaea.readthedocs.io/en/latest/,README + /docs folder + readthedocs external link. Well-documented malware trap.,IT,"Mature malware collection honeypot catching malware via SMB, HTTP, FTP, MSSQL, MySQL; Honeynet Project.",Low,Emulates multiple vulnerable services to capture malware; logs all interactions.,"Automated malware bots and exploit kits targeting SMB, HTTP, FTP, MySQL, MSSQL.","Extensive README, /docs folder, and readthedocs documentation.",No,Not available,None,Not documented,"Attacker IP addresses, malware binaries, exploit shellcodes, protocol interaction logs",Docs describe extensive logging including malware binary capture.,"SMB (445), HTTP (80), FTP (21), MSSQL (1433), MySQL (3306), SIP (5060)",Documented in readthedocs; wide protocol range.,Medium,Captured malware binaries are live malicious code; attacker IPs logged without anonymization.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; no malware safe handling or disposal guidance.,Extensive capture infrastructure with no malware lifecycle governance.,Purely technical,Not documented,Not documented,Not documented,No IRB; captures live malware without safe storage/disposal policy; widely deployed without governance.,Not documented,HIGH relevance to HoneySat ethics: mature multi-service honeypot demonstrating broad data collection — baseline for comparison; malware capture ethics directly applicable.,Malware capture and containment ethics relevant to HoneySat threat intelligence.,Not documented,Not documented,Not documented
Non-Scientific,dhp,https://github.com/ciscocsirt/dhp,,GitHub,33,Yes,No,No,No,README,Minimal,N/A,Short README; Cisco CSIRT honeypot proxy.,IT,Cisco CSIRT Docker-based honeypot for network threat intelligence collection.,Low,Logs incoming connections; minimal service emulation; Docker-based.,Generic internet attackers and automated scanners.,README describes Cisco CSIRT origin and Docker deployment.,No,Not available,None,Not documented,"Attacker IP addresses, connection metadata",Not documented.,Configurable ports,Not documented.,Low,Connection metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; Cisco CSIRT origin with no public ethics governance.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,DolosHoneypot,https://github.com/Marist-Innovation-Lab/DolosHoneypot,,GitHub,4,Yes,No,No,No,README,Minimal,N/A,Short README; minimal documentation.,IT,Marist Innovation Center honeypot; minimal documentation.,Low,Minimal emulation; logs connection attempts.,Generic internet attackers.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, connection metadata",Not documented.,Configurable,Not documented.,Low,Connection metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal documentation.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Ensnare,https://github.com/ahoernecke/ensnare,,GitHub,68,Yes,No,No,No,README,Minimal,N/A,README with setup; Ruby-based honeypot.,IT,Ruby-based web application honeypot using token-based traps and form injection.,Low,Injects honeytokens and trap endpoints; logs attacker interactions.,Automated web scanners and targeted attackers probing web applications.,README describes honeytoken injection mechanism.,No,Not available,None,Not documented,"Attacker IP addresses, HTTP requests, token interaction events",Not documented.,"HTTP/HTTPS (80, 443)",Standard web ports.,Low,Token interaction metadata and IP addresses.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,GenAIPot,https://github.com/ls1911/GenAIPot,,Not Found,N/A,No,No,No,No,None,None,N/A,N/A,Other,Repository/link not found; documentation not available.,Not available,Not documented,Not available,Not documented,No,Not available,None,Not documented,Not available,Not documented,Not available,Not documented,Not available,Not documented,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Not available,Not documented,Not documented,Not documented,Repository not found; no ethics analysis possible.,Not documented,Not assessable; repository unavailable.,Not assessable.,Not documented,Not documented,Not documented
Non-Scientific,Helix,https://github.com/Zeerg/helix-honeypot,,GitHub,44,Yes,No,No,No,README,Minimal,N/A,Short README; simple honeypot.,IT,Simple honeypot tool supporting multiple protocol emulations.,Low,Basic service emulation; logs connection attempts.,Generic internet automated scanners.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, connection metadata",Not documented.,Configurable,Not documented.,Low,Connection metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeycomb_plugins,https://github.com/Cymmetria/honeycomb_plugins,,GitHub,27,Yes,No,No,No,README,Minimal,N/A,Short README; Cymmetria honeycomb plugin collection.,IT,Plugin library for Cymmetria honeycomb deception platform.,Low,Provides emulation plugins; individual plugins vary in interaction depth.,Generic internet attackers depending on plugin deployed.,README describes plugin architecture.,No,Not available,None,Not documented,Depends on plugin; typically IP addresses and protocol interaction data,Not documented.,Protocol-dependent per plugin,Not documented.,Low,Plugin-dependent; typically low-sensitivity metadata.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; commercial platform plugin with no public ethics governance.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
